,Benchmark,System,Error
0,Matching,sparse_parflex,9.256134921476749
1,Matching,parflex,9.259289322352442
2,Subseq_20,sparse_parflex,92.10966280776447
3,Subseq_20,parflex,11.121317275634484
4,Subseq_30,sparse_parflex,84.37091730652739
5,Subseq_30,parflex,10.358704015978782
6,Subseq_40,sparse_parflex,81.02384912704775
7,Subseq_40,parflex,9.564541026960404
8,PartialStart,sparse_parflex,18.679823925598065
9,PartialStart,parflex,7.2264809511698225
10,PartialEnd,sparse_parflex,9.991177833051555
11,PartialEnd,parflex,9.47542038068093
12,PartialOverlap,sparse_parflex,46.30255738737192
13,PartialOverlap,parflex,7.500250443643025
14,Pre_5,sparse_parflex,9.314910370559865
15,Pre_5,parflex,9.314910370559865
16,Pre_10,sparse_parflex,9.23155155954602
17,Pre_10,parflex,9.23155155954602
18,Pre_20,sparse_parflex,9.152685139544896
19,Pre_20,parflex,9.152685139544896
20,Post_5,sparse_parflex,9.209339181760893
21,Post_5,parflex,9.209339181760893
22,Post_10,sparse_parflex,9.20372369299499
23,Post_10,parflex,9.20372369299499
24,Post_20,sparse_parflex,9.21638973987808
25,Post_20,parflex,9.21638973987808
26,PrePost_5,sparse_parflex,9.299935733850791
27,PrePost_5,parflex,9.299935733850791
28,PrePost_10,sparse_parflex,9.287831235844289
29,PrePost_10,parflex,9.287831235844289
30,PrePost_20,sparse_parflex,9.252141685020995
31,PrePost_20,parflex,9.252141685020995
